标签,实体,正文
2,"[F-35战斗机,B-2轰炸机]",因此，未来的北约组织的联合行动中，可能将会有$F-35$和#B-2#的联合协同作战，因此，英美双方觉得有必要提前进行训练与演习，以便熟悉两款机型如何进行协调配合
2,"[歼-11,空警500,轰6]",配合$歼-11$和空警500，轰六K可能说是宝刀不老，完全可以威慑任何豺狼宵小
2,"[J-16,霹雳-10空空导弹]",由于采用了红外成像制导系统，它的灵敏度更高、抗干扰能力更强，配合国产头盔显示/瞄准系统，具备更大角度的离轴攻击能力，目前第四代红外成像格斗空空导弹在我国周边国家和地区扩散非常明显，所以$PL-10$的配备可以提高#歼-16#与这些作战飞机进行近距格斗的能力
2,"[歼-20,Y-20]",众所周知，作为我国现役最先进的战斗机系统，$歼20$最大的特点就是实现了隐身性能，而这样的隐身战斗机系统在远程作战中和#运20#版非隐身加油机的配合使用很显然会破坏#歼20#隐身机队的整体隐身优势
2,"[歼-20,J-16]",未来$歼-16$电子战型与#歼-20#相互配合，将使中国空军所向披靡
2,"[J-16,霹雳-10空空导弹]",$歼-10$C配备的#霹雳10#先进近距格斗空空导弹，是我军第一种达到同时期世界顶尖水平的空空导弹！这次击落气球，很可能是其第一个实战战果！它有着极为出色的高机动设计，采用先进的红外热成像制导技术，可有效区分真正的敌机目标和红外诱饵，可配合飞行员佩戴的中国自行研制头盔瞄准具，“看哪打哪”
2,"[歼-11,歼-20,歼-10]",当然了，$歼11$不可能和#苏27#完全一样，由于用了我国最先进的技术，所以#歼11#（尤其是其后期型号）的性能比原始的#苏27#要好很多，现在它是我国重型第三代战机的支柱，和#歼10#中型战机可以形成高低搭配，也可以配合#歼20#隐形飞机作战
2,"[PL-15,歼-20]",事实上，问题不仅在于$PL-15$超出了美军AMRAAM导弹的范围，当与#歼-20#配合使用时，中国可能攻击加油机和ISR飞机
2,"[歼-20,J-16]",不仅如此，我国的沈飞集团研制的$歼-16$战斗机已经早早量产，#歼-16#是一款双发双座重型多用途战斗机，有了#歼-16#配合，#歼-20#更没有必要出双座版，因为如果有战术需要的话，完全可以由#歼-20#打掩护，同时#歼-16#去执行任务
2,"[E-2C预警机,EA-6B电子战飞机]",通过$E-2C$预警飞机和#EA-6#B电子战飞机的配合，整个战场就会对美国海军呈现一边倒的战争态势
2,"[歼-20,J-16]",现阶段$歼-16$战机仅供应空军，而#歼-16#D电子战飞机还在紧张的试飞中，参考#F-18#在美军的地位，有理由认为#歼-16#将成为中国空军未来一段时间的主力战机，等#歼-20#的装备数量逐步增加后，会协同其他同代战机一起配合#歼-20#共同撑起中国空军
2,"[歼11B战斗机,歼轰7A战斗轰炸机]",对比昔日的歼8二战斗机，$歼11$B战斗机是一款双发重型战斗机，作战半径高达1500公里，可以挂载#霹雳-11#、#霹雳12#等各型中远程空空导弹实施超视距打击，也可以挂载多型国产空地导弹实施对地精确打击，配合#歼轰7#A战斗轰炸机的强大反舰火力，共同构成了完善的攻防火力体系
2,"[歼-20,J-16,J-10,Y-20]",眼尖的军迷认出，这应该是加油机常用的空中加油吊舱，这意味着$运20$的加油机型号终于出现了！#运20#机翼上挂载的吊舱，应该是与伊尔78一样的软管加油吊舱，配合#歼16#、#歼10#、#歼20#上的空中加油管来进行燃油输送
2,"[AH-64武装直升机,AC-130]","据当时参战的士兵说，如果不是还有A$C-130$""空中炮艇”的支援，整个行动恐怕都得泡汤，#AH-6#4在这场战争中受到了严重的打"
2,"[歼-11,轰6,苏-35,空警-2000预警机]",据报道，这次绕飞台岛巡航，多架$轰-6$K战机分别从台岛南北两端同时双向飞行，#空警-20#00预警机和#苏-35#、#歼-11#等战机，前出巴士海峡、宫古海峡区域实施指挥控制和伴随掩护，预警侦察、轰炸突击、支援掩护一体行动，构建起海上空中作战力量体系
2,"[F-4战斗机,HC130P,F105,A7,F9]",美军为这次行动组织了袭击分队和支援分队，袭击分队以一架$C-130$为先导，包括5架#CH-5#3A直升机；支援分队同样以一架#C-130#为先导，包括5架攻击机，一架负责加油、救援的H#C-130#P飞机，10架用于压制米格战斗机的#F-4#战斗机，5架用于特种空中作战的#F-10#5战斗机，以及若干架用于提供空中支援的#A-7#和#F-8#等海军作战飞机
2,"[EA-6B电子战飞机,B-1B战略轰炸机,JASSM-ER巡航导弹,“战斧”巡航导弹]",其中西南方向和东南方向是主攻方向，使用的兵力及打击情况包括：“蒙特利尔”号巡洋舰和“拉本”号驱逐舰，部署在红海，发射37枚“战斧”巡航导弹；“希金斯”号，部署在波斯湾北部，发射23枚“战斧”巡航导弹；两架$B-1$B战略轰炸机在#EA-6#B电子战机的支援下，进入沙特北部阵位发射19枚JASS#M-E#R巡航导弹
2,"[苏-30MKK战斗机,伊尔-78加油机]",而此次则有$轰-6$K轰炸机演练远海巡航导弹攻击；#苏-30#MKK战斗机在#伊尔-7#8加油机的支援下负责全程护航，随时驱离敢于窥伺、干扰解放军机群的外军战机；#运-8G#电子战飞机提供现代空战不可或缺的电子压制、电磁掩护；#图-154#MD侦察机则在其他所有机型的掩护下，“安静”地做个数据和信息收集者
2,"[F-35战斗机,EA-18G电子战机]",况且$F-35$不仅隐身性较好，其自身也具有较强的电子干扰能力，在#EA-18G#等专用电子战飞机的支援下，完全有能力突破雷达防御网的前沿，更深入地开展侦察或攻击行动
2,"[空警-2000预警机,苏-35,歼-11]",文/人形自走炮5月11日这天，解放军空军再次组织远海飞行训练，和往常一样，这次空军机群再次环绕台湾；和往常不太一样的是，这次是东部和南部战区空军部队协同行动，出动了$苏-35$、#歼-11#、#空警-20#00、#轰-6#K等庞大机群，从南北两个方向，成作战体系编队，相对而行；可以说，这次是解放军空军非常罕见的一次作战体系展示，是让台湾感受到力量的绝对差距，也是对岛内某些人的警告！根据空军发布的官方消息，这次绕飞台岛巡航，空军组织两个战区空军协同实施，多架#轰-6#K战机分别从台岛南北两端同时双向飞行，#空警-20#00预警机和#苏-35#、#歼-11#等战机，前出巴士海峡、宫古海峡区域实施指挥控制和伴随掩护，预警侦察、轰炸突击、支援掩护一体行动，构建起海上空中作战力量体系
2,"[F-35战斗机,B-2轰炸机,MQ-25]","$F-35$隐身战斗机与#B-2#轰炸机未来很有可能会增加#MQ-25#的身影#F-35#在#MQ-25#的空中支援下，同样可以延展空战半径，“肥电”的“小短腿”已经不再是问题需要指出的是,波音公司在#MQ-25#“黄貂鱼”上的采用的一系列设计表明，波音公司恐怕并没有将“黄貂鱼”完全当作一款舰载加油机而设计的"
2,"[EF-111电子战飞机,A-6攻击机]",如果有较为完善的支援，$A-6$的战场生存能力也是不错的，利比亚黄金峡谷行动中，#A-6#在E#F-111#强力电子掩护下，躲过了100余枚防空导弹之后对既定目标发起攻击，成功完成攻击任务
2,"[F-35战斗机,MQ-25]",以往，美国海军主要使用$F/A-18$E/F战斗机配合进行伙伴空中加油，而在#MQ-25#的支援下，#F-35#C更能够发挥出自身隐形突防的优势
2,"[AH-1W超级眼镜蛇,AV-8B攻击机]",但在$AH-1$W超级眼镜蛇直升机与#AV-8#B鹞式攻击机的支援下，陆战队员们还是粉碎了伊军的抵抗
2,"[59式中型坦克,J-6 J-7]",1979年1月，一万多名坦军在中国造59式坦克和$歼-6$、#歼-7#战斗机支援下，攻入乌干达境内，3月便逼近乌干达首都，乌干达总统阿明向利比亚总统卡扎菲求助
2,"[F/A-18战斗攻击机,EA-18G电子战机]",美国海军领导人拒绝透露海军航空兵在反介入作战下的计划，但是从零散的信息中看出将通过$F/A-18$E/F和#EA-18G#联合作战来完成作战任务，包括进行提高生存能力的设计，使用远程武器、#EA-18G#的干扰支援
2,"[轰6,苏-30型战斗机,伊尔-78加油机]",在越来越多地得到$伊尔-7$8加油机的支援保障后，#苏-30#MKK、#苏-35#等远海训练主力战机将能实现巡航空域覆盖南部海域，或全程护航#轰-6#K轰炸机“绕岛”
2,"[歼-20,Y-20]",之后$歼20$在#运20#加油机的支援下从内陆出击，对敌方驻守在第一岛链和东亚地区的军事目标实施打击
2,"[歼-11,轰6,苏-35,空警-2000预警机]",具体来说，南部战区出动多架$苏-35$战斗机掩护#轰-6#K轰炸机穿过了巴士海峡，#轰-6#K轰炸机掉头北上，与东部战区出动的#轰-6#K轰炸机“南北夹击”绕行祖国宝岛，同时#苏-35#和#歼-11#战机掩护#空警-20#00预警机在西太平洋海域进行指挥和预警，协助#轰-6#K抢占发射阵位，进行轰炸突击演练，并进行了支援掩护一体化行动，构建了完整的海空联合作战体系
2,"[轰6,苏-30型战斗机,伊尔-78加油机,苏-35]",在越来越多地得到$伊尔-7$8加油机的支援保障后，#苏-30#MKK、#苏-35#等远海训练主力战机将能实现巡航空域覆盖南部海域，或全程护航#轰-6#K轰炸机“绕岛”
2,"[歼-20,J-16,J-10]",从以上两张图看，明显反应了$歼-20$和#歼-16#、#歼-10#C正在进行一场进攻性制空作战，三者演练的是编队协作突防，也许是要打击某个军事基地或导弹阵地，在飞越沙漠时#歼-20#在前，就是利用自己的感知和隐身优势，先行夺取局部制空权，而#歼-16#、#歼-10#C在前，则是负责对地面目标进行远程精确打击
2,"[歼-20,J-16,J-10]",从以上两张图看，明显反应了$歼-20$和#歼-16#、#歼-10#C正在进行一场进攻性制空作战，三者演练的是编队协作突防，也许是要打击某个军事基地或导弹阵地，在飞越沙漠时#歼-20#在前，就是利用自己的感知和隐身优势，先行夺取局部制空权，而#歼-16#、#歼-10#C在前，则是负责对地面目标进行远程精确打击
2,"[F/A-18战斗攻击机,黄貂鱼加油机]",一架超级大黄蜂战机原本的作战半径为833公里，有黄貂鱼加油机的协助后，可以扩展到超过1300公里
2,"[轰6,Y-20]",再如轰炸机$轰-6$K，本身3500公里的作战半径，再携带射程达到1500公里的长剑-20巡航导弹，在#运-20#加油机的协助下，一跃成为真正意义上的战略轰炸机
2,"[F-22战斗机,B-2轰炸机]",三是尝试与五代机联合作战，在$F-22$战机提供信息支援和护航条件下，#B-2#战略轰炸机绕开敌方拦截，秘密进入战区实施作战并安全返回基地
2,"[F-22战斗机,F-15战斗机]",$F-15$高级鹰装备TalonHATE通讯荚舱，与#F-22#之间进行实时联络，以及显示相同的侦察图像，因此能更好地配合作战
2,"[F/A-18战斗攻击机,C-130运输机]",通常与海军陆战队的$F/A-18$C/D战机和K#C-130#J空中加油机进行联合作战训练
2,"[F-35战斗机,F-22战斗机]",根据公开资料，$F-21$使用的A#PG-8#3雷达与#F-35#所用的A#PG-81#雷达有95%的通用性，综合作战能力仅次于#F-22#使用的A#PG-77#雷达，因此说#F-21#是#F-22#的小弟也有一定道理
2,"[F-35战斗机,F-22战斗机]",而美国空军赋予该机的重要使命，就是与$F-22$、#F-35#两款第五代战机配合作战
2,"[B-52战略轰炸机,F-35战斗机,F-22战斗机]",可将是$B-52$与#F-22#和#F-35#等隐形战斗机密切合作，使用新增的网络技术，既能保持其隐身性能，同时又有轰炸机强大的进攻性轰炸与空战导弹能力
2,"[F-22战斗机,B-2轰炸机]",其间，$B-2$战略轰炸机进行“热加油”技术、模拟打击以及与#F-22#战机联合作战等课目演练
2,"[F-22战斗机,B-2轰炸机]",$F-22$还能为#B-2#提供战场讯息与导引，相关联合训练有助于提高飞行员之间的合作协调能力
2,"[歼-20,J-16,J-10]",$歼-20$已与#歼-16#和#歼-10#c战机实现联合作战，这使中国空军的实力达到了一个新的水平
2,"[歼-11,轰6]",这一相对速度“优势”，使得$轰-6$G能与#歼-11#B更好地进行编队飞行、配合作战
2,"[T-50型隐形战斗机,F/A-18战斗攻击机]",（F/A-18$E/F舰载机与X-47B无人机合作飞行）根据俄方报道，我们可以得出这样一个结论，$苏-57#与&quot;猎人&quot;重型攻击无人机在飞行测试期间，完成了一次&quot;A射B导&quot;的模拟攻击演练
2,"[F-35战斗机,F-22战斗机,F-15战斗机]",这种新型战斗机代号被称为$F-15$X，该机将采用#F-15#E系列最新型号的机体，但采用单座设计，具备携带大量空空、空地武器的能力，能作为“空中武器库”与#F-22#、#F-35#联合作战
2,"[轰6,AH-64武装直升机]",$AH-6$4E着舰训练近日美国陆军公布了#AH-6#4E“守护神阿帕奇”直升机最新改进版本的详细计划，在此次的改进中将极大的提升#AH-6#4E的海上攻击能力，同时更加强调武装直升机与无人机编队之间的配合作战，一此提高#AH-6#4E武装直升机收集和共享信息、识别和攻击敌方目标以及避免防空火力威胁的总体能力
2,"[歼-11,歼-20,苏-30型战斗机,J-16,J-10]",$歼-10$C已开展与#歼-20#联合作战的训练毫无疑问，#歼-10#B/C的出现将更好地贯彻中国空军“攻防兼备”的作战思想，现在#歼-10#B/C与#歼-11#B和#歼-16#一起，再加上#苏-30#MKK和#苏-35#的加盟，这些大多属于三代半水平的战机同时装备中国空军后，表明中国空军从“以量胜优”进入了“以优胜优”时代
2,"[J-10,米格-29战斗机]",实际上，俄罗斯自己也在帮助中国制造飞机，其中作为$米格-29$竞争对手的#歼-10#和#FC-1#就是在俄罗斯米格公司协助下研制而成的，相关合同是由俄罗斯国防出口公司在俄联邦军事技术合作局允许的情况下拟定的
2,"[F-22战斗机,B-2轰炸机]",$F-22$还能为#B-2#提供战场讯息与导引，相关联合训练有助于提高飞行员之间的合作协调能力
2,"[歼-20,J-16,J-10]",局座之前讲战斗机、$歼轰机$的时候就说过，未来有人战斗机和无人机相互配合作战，攻击-11很有可能就会配合#歼-20#、#歼-16#、#歼-10#这些有人战机，伴随这些飞机执行任务
2,"[F/A-18战斗攻击机,F-35战斗机]",届时，X-47B可与$F/A-18$或#F-35#C进行合理有效搭配，实现优势互补、联合作战
2,"[轰6,歼-20,J-16,J-10]",此外，$歼-20$不仅可以自己飞，也可以和其他飞机进行联合作战，不仅可以与#歼-10#C、#歼-16#搭配，#轰-6#K等其他飞机都可以加入，形成一个高端的作战体系
2,"[F/A-18战斗攻击机,EA-18G电子战机]",$F/A-18$E/F和#EA-18G#目前执行一系列范围广泛的任务，以支持航母战斗群和联合作战
2,"[歼-20,J-16]",接受《环球时报》记者采访的中国军事专家表示，$歼-16$与#歼-20#配合作战，将充分发挥两者优势
2,"[F-35战斗机,F-22战斗机]",军事专家兰顺正介绍，$F-35$战机是美国与部分盟国合作研制的第五代隐身战斗机，主要与#F-22#战机进行“高低搭配”作战，可胜任空战、对地支援和对海攻击等多项任务，作战性能虽略逊#F-22#战机，仍堪称战机中的“多面手”
2,"[AH-1W超级眼镜蛇,AH-64武装直升机,AH-1武装直升机]",新的“阿帕奇”将与陆军的60架贝尔$AH-1$W“超级眼镜蛇”并肩合作
2,"[F/A-18战斗攻击机,EA-18G电子战机]",美国海军领导人拒绝透露海军航空兵在反介入作战下的计划，但是从零散的信息中看出将通过$F/A-18$E/F和#EA-18G#联合作战来完成作战任务，包括进行提高生存能力的设计，使用远程武器、#EA-18G#的干扰支援
2,"[歼-20,T-50型隐形战斗机]",中国空军应该购买$苏-57$，不仅可以作为#歼-20#的搭档，还可以与俄罗斯在更多方面进行合作
2,"[歼-20,J-16]",接受《环球时报》记者采访的中国军事专家表示，$歼-16$与#歼-20#配合作战，将充分发挥两者优势
2,"[歼-20,J-16]",那么，在一次空战任务中，$歼-20$能不能与#歼-16#搭档呢？上述专家表示，这实际上涉及三代机与四代机之间配合作战的问题，如果#歼-16#与#歼-20#搭档一同空战，首先要求两者有兼容的数据链系统，以便共享数据
2,"[歼-20,J-16]",未来，$歼16$战机将成为#歼20#的搭档，与#歼20#一起联合作战
2,"[歼-20,J-16]",未来，我国$歼16$战机将会至少建造500架以上，#歼20#肩负起战斗值班的任务之后，它将会与#歼20#联合作战，维护我国空中安全作出巨大的贡献
2,"[歼-20,J-16]",那么，在一次空战任务中，$歼-20$能不能与#歼-16#搭档呢？上述专家表示，这实际上涉及三代机与四代机之间配合作战的问题，如果#歼-16#与#歼-20#搭档一同空战，首先要求两者有兼容的数据链系统，以便共享数据
